countryEnglishName,provinceEnglishName,total_confirmedCount,total_curedCount,total_deadCount,updateTime,report_date
China,China,81163,69738,3242,18/03/2020 13:25,18/03/2020
China,China,81163,69734,3242,18/03/2020 13:16,18/03/2020
China,China,81163,69729,3242,18/03/2020 13:11,18/03/2020
China,China,81152,69729,3242,18/03/2020 13:06,18/03/2020
Norway,Norway,1452,0,3,18/03/2020 13:06,18/03/2020
Austria,Austria,1332,6,3,18/03/2020 13:06,18/03/2020
Canada,Canada,595,10,8,18/03/2020 13:06,18/03/2020
Brazil,Brazil,291,0,1,18/03/2020 13:06,18/03/2020
Slovenia,Slovenia,275,0,1,18/03/2020 13:06,18/03/2020
Pakistan,Pakistan,237,1,0,18/03/2020 13:06,18/03/2020
Estonia,Estonia,225,0,0,18/03/2020 13:06,18/03/2020
Poland,Poland,238,13,3,18/03/2020 13:06,18/03/2020
Romania,Romania,217,3,0,18/03/2020 13:06,18/03/2020
Philippines,Philippines,193,1,14,18/03/2020 13:06,18/03/2020
Thailand,Thailand,212,41,1,18/03/2020 13:06,18/03/2020
India,India,147,3,3,18/03/2020 13:06,18/03/2020
Ecuador,Ecuador,111,0,2,18/03/2020 13:06,18/03/2020
Mexico,Mexico,93,1,0,18/03/2020 13:06,18/03/2020
Panama,Panama,86,0,1,18/03/2020 13:06,18/03/2020
Armenia,Armenia,78,0,0,18/03/2020 13:06,18/03/2020
Argentina,Argentina,79,1,2,18/03/2020 13:06,18/03/2020
Republic of Serbia,Republic of Serbia,72,0,0,18/03/2020 13:06,18/03/2020
Croatia,Croatia,69,0,0,18/03/2020 13:06,18/03/2020
Vietnam,Vietnam,67,16,0,18/03/2020 13:06,18/03/2020
Latvia,Latvia,49,0,0,18/03/2020 13:06,18/03/2020
Cyprus,Cyprus,49,0,0,18/03/2020 13:06,18/03/2020
Morocco,Morocco,44,1,2,18/03/2020 13:06,18/03/2020
Georgia,Georgia,35,0,0,18/03/2020 13:06,18/03/2020
Kazakstan,Kazakstan,35,0,0,18/03/2020 13:06,18/03/2020
Azerbaijan,Azerbaijan,34,6,1,18/03/2020 13:06,18/03/2020
New Zealand,New Zealand,20,0,0,18/03/2020 13:06,18/03/2020
Gabon,Gabon,3,0,0,18/03/2020 13:06,18/03/2020
The Republic of Equatorial Guinea,The Republic of Equatorial Guinea,3,0,0,18/03/2020 13:06,18/03/2020
,,3,0,0,18/03/2020 13:06,18/03/2020
Barbados,Barbados,2,0,0,18/03/2020 13:06,18/03/2020
Thailand,Thailand,212,41,1,18/03/2020 13:05,18/03/2020
,,3,0,0,18/03/2020 13:05,18/03/2020
Philippines,Philippines,193,1,14,18/03/2020 12:57,18/03/2020
India,India,147,3,3,18/03/2020 12:53,18/03/2020
Armenia,Armenia,78,0,0,18/03/2020 12:53,18/03/2020
Norway,Norway,1452,0,3,18/03/2020 12:35,18/03/2020
Austria,Austria,1332,6,3,18/03/2020 12:35,18/03/2020
Canada,Canada,595,10,8,18/03/2020 12:35,18/03/2020
Brazil,Brazil,291,0,1,18/03/2020 12:35,18/03/2020
Slovenia,Slovenia,275,0,1,18/03/2020 12:35,18/03/2020
Pakistan,Pakistan,237,1,0,18/03/2020 12:35,18/03/2020
Estonia,Estonia,225,0,0,18/03/2020 12:35,18/03/2020
Poland,Poland,238,13,3,18/03/2020 12:35,18/03/2020
Romania,Romania,217,3,0,18/03/2020 12:35,18/03/2020
Chile,Chile,201,0,0,18/03/2020 12:35,18/03/2020
India,India,147,3,3,18/03/2020 12:35,18/03/2020
Russia,Russia,114,5,0,18/03/2020 12:35,18/03/2020
Ecuador,Ecuador,111,0,2,18/03/2020 12:35,18/03/2020
Mexico,Mexico,93,1,0,18/03/2020 12:35,18/03/2020
Panama,Panama,86,0,1,18/03/2020 12:35,18/03/2020
Argentina,Argentina,79,1,2,18/03/2020 12:35,18/03/2020
Republic of Serbia,Republic of Serbia,72,0,0,18/03/2020 12:35,18/03/2020
Croatia,Croatia,69,0,0,18/03/2020 12:35,18/03/2020
Uruguay,Uruguay,50,0,0,18/03/2020 12:35,18/03/2020
Latvia,Latvia,49,0,0,18/03/2020 12:35,18/03/2020
Cyprus,Cyprus,49,0,0,18/03/2020 12:35,18/03/2020
Morocco,Morocco,44,1,2,18/03/2020 12:35,18/03/2020
Azerbaijan,Azerbaijan,34,6,1,18/03/2020 12:35,18/03/2020
New Zealand,New Zealand,20,0,0,18/03/2020 12:35,18/03/2020
Gabon,Gabon,3,0,0,18/03/2020 12:35,18/03/2020
The Republic of Equatorial Guinea,The Republic of Equatorial Guinea,3,0,0,18/03/2020 12:35,18/03/2020
Barbados,Barbados,2,0,0,18/03/2020 12:35,18/03/2020
Norway,Norway,1452,0,3,18/03/2020 12:26,18/03/2020
Austria,Austria,1332,6,3,18/03/2020 12:26,18/03/2020
Canada,Canada,595,10,8,18/03/2020 12:26,18/03/2020
Brazil,Brazil,291,0,1,18/03/2020 12:26,18/03/2020
Slovenia,Slovenia,275,0,1,18/03/2020 12:26,18/03/2020
Pakistan,Pakistan,237,1,0,18/03/2020 12:26,18/03/2020
Estonia,Estonia,225,0,0,18/03/2020 12:26,18/03/2020
Poland,Poland,238,13,3,18/03/2020 12:26,18/03/2020
Romania,Romania,217,3,0,18/03/2020 12:26,18/03/2020
Ecuador,Ecuador,111,0,2,18/03/2020 12:26,18/03/2020
Mexico,Mexico,93,1,0,18/03/2020 12:26,18/03/2020
Panama,Panama,86,0,1,18/03/2020 12:26,18/03/2020
Argentina,Argentina,79,1,2,18/03/2020 12:26,18/03/2020
Republic of Serbia,Republic of Serbia,72,0,0,18/03/2020 12:26,18/03/2020
Croatia,Croatia,69,0,0,18/03/2020 12:26,18/03/2020
Uruguay,Uruguay,50,0,0,18/03/2020 12:26,18/03/2020
Latvia,Latvia,49,0,0,18/03/2020 12:26,18/03/2020
Cyprus,Cyprus,49,0,0,18/03/2020 12:26,18/03/2020
Morocco,Morocco,44,1,2,18/03/2020 12:26,18/03/2020
Azerbaijan,Azerbaijan,34,6,1,18/03/2020 12:26,18/03/2020
New Zealand,New Zealand,20,0,0,18/03/2020 12:26,18/03/2020
Gabon,Gabon,3,0,0,18/03/2020 12:26,18/03/2020
The Republic of Equatorial Guinea,The Republic of Equatorial Guinea,3,0,0,18/03/2020 12:26,18/03/2020
Barbados,Barbados,2,0,0,18/03/2020 12:26,18/03/2020
China,China,81151,69729,3242,18/03/2020 12:12,18/03/2020
Uruguay,Uruguay,50,0,0,18/03/2020 12:12,18/03/2020
Iran,Iran,16169,5389,988,18/03/2020 12:11,18/03/2020
Spain,Spain,11178,1028,491,18/03/2020 12:11,18/03/2020
Germany,Germany,9235,135,25,18/03/2020 12:11,18/03/2020
China,China,81151,69728,3242,18/03/2020 12:11,18/03/2020
France,France,7730,602,175,18/03/2020 12:11,18/03/2020
Korea,Korea,8413,1401,84,18/03/2020 12:11,18/03/2020
United States of America,United States of America,6420,74,108,18/03/2020 12:11,18/03/2020
Switzerland,Switzerland,2269,3,19,18/03/2020 12:11,18/03/2020
United Kingdom,United Kingdom,1950,52,60,18/03/2020 12:11,18/03/2020
Netherlands,Netherlands,1705,0,43,18/03/2020 12:11,18/03/2020
Norway,Norway,1331,0,3,18/03/2020 12:11,18/03/2020
Belgium,Belgium,1243,1,10,18/03/2020 12:11,18/03/2020
Sweden,Sweden,1191,1,8,18/03/2020 12:11,18/03/2020
Austria,Austria,1132,6,3,18/03/2020 12:11,18/03/2020
Denmark,Denmark,977,1,4,18/03/2020 12:11,18/03/2020
Japan,Japan,882,157,29,18/03/2020 12:11,18/03/2020
Malaysia,Malaysia,673,49,2,18/03/2020 12:11,18/03/2020
Australia,Australia,513,27,5,18/03/2020 12:11,18/03/2020
Canada,Canada,467,10,5,18/03/2020 12:11,18/03/2020
Portugal,Portugal,448,3,1,18/03/2020 12:11,18/03/2020
Qatar,Qatar,439,0,0,18/03/2020 12:11,18/03/2020
Czech Republic,Czech Republic,434,3,0,18/03/2020 12:11,18/03/2020
Greece,Greece,387,0,5,18/03/2020 12:11,18/03/2020
Israel,Israel,337,5,0,18/03/2020 12:11,18/03/2020
Finland,Finland,319,1,0,18/03/2020 12:11,18/03/2020
Ireland,Ireland,292,0,2,18/03/2020 12:11,18/03/2020
Brazil,Brazil,290,0,1,18/03/2020 12:11,18/03/2020
Slovenia,Slovenia,253,0,1,18/03/2020 12:11,18/03/2020
Diamond Princess Cruise Ship,Diamond Princess Cruise Ship,712,458,7,18/03/2020 12:11,18/03/2020
Iceland,Iceland,220,0,0,18/03/2020 12:11,18/03/2020
Pakistan,Pakistan,212,1,0,18/03/2020 12:11,18/03/2020
Estonia,Estonia,205,0,0,18/03/2020 12:11,18/03/2020
Chile,Chile,201,0,0,18/03/2020 12:11,18/03/2020
Poland,Poland,205,13,3,18/03/2020 12:11,18/03/2020
Philippines,Philippines,187,1,14,18/03/2020 12:11,18/03/2020
Egypt,Egypt,196,26,4,18/03/2020 12:11,18/03/2020
Indonesia,Indonesia,172,2,5,18/03/2020 12:11,18/03/2020
Singapore,Singapore,266,105,0,18/03/2020 12:11,18/03/2020
Bahrain,Bahrain,242,81,1,18/03/2020 12:11,18/03/2020
Romania,Romania,158,3,0,18/03/2020 12:11,18/03/2020
Luxembourg,Luxembourg,140,0,1,18/03/2020 12:11,18/03/2020
Thailand,Thailand,177,41,1,18/03/2020 12:11,18/03/2020
India,India,137,3,3,18/03/2020 12:11,18/03/2020
Saudi Arabia,Saudi Arabia,133,6,0,18/03/2020 12:11,18/03/2020
Kuwait,Kuwait,130,12,0,18/03/2020 12:11,18/03/2020
Peru,Peru,117,0,0,18/03/2020 12:11,18/03/2020
Lebanon,Lebanon,120,1,3,18/03/2020 12:11,18/03/2020
Russia,Russia,114,5,0,18/03/2020 12:11,18/03/2020
Iraq,Iraq,154,41,11,18/03/2020 12:11,18/03/2020
Turkey,Turkey,98,0,1,18/03/2020 12:11,18/03/2020
Slovakia,Slovakia,97,0,0,18/03/2020 12:11,18/03/2020
San Marino,San Marino,102,2,9,18/03/2020 12:11,18/03/2020
United Arab Emirates,United Arab Emirates,113,26,0,18/03/2020 12:11,18/03/2020
Mexico,Mexico,82,1,0,18/03/2020 12:11,18/03/2020
Bulgaria,Bulgaria,81,0,2,18/03/2020 12:11,18/03/2020
Armenia,Armenia,72,0,0,18/03/2020 12:11,18/03/2020
Republic of Serbia,Republic of Serbia,70,0,0,18/03/2020 12:11,18/03/2020
Panama,Panama,69,0,1,18/03/2020 12:11,18/03/2020
Argentina,Argentina,65,1,2,18/03/2020 12:11,18/03/2020
South Africa,South Africa,62,0,0,18/03/2020 12:11,18/03/2020
Croatia,Croatia,57,0,0,18/03/2020 12:11,18/03/2020
Colombia,Colombia,57,0,0,18/03/2020 12:11,18/03/2020
Ecuador,Ecuador,58,0,2,18/03/2020 12:11,18/03/2020
Brunei,Brunei,56,0,0,18/03/2020 12:11,18/03/2020
Albania,Albania,55,0,1,18/03/2020 12:11,18/03/2020
Vietnam,Vietnam,66,16,0,18/03/2020 12:11,18/03/2020
Costa Rica,Costa Rica,50,0,0,18/03/2020 12:11,18/03/2020
Hungary,Hungary,50,1,1,18/03/2020 12:11,18/03/2020
Faroe,Faroe,47,0,0,18/03/2020 12:11,18/03/2020
Algeria,Algeria,60,10,5,18/03/2020 12:11,18/03/2020
SriLanka,SriLanka,44,1,0,18/03/2020 12:11,18/03/2020
Palestine,Palestine,41,0,0,18/03/2020 12:11,18/03/2020
Jordan,Jordan,41,1,0,18/03/2020 12:11,18/03/2020
Latvia,Latvia,36,0,0,18/03/2020 12:11,18/03/2020
Morocco,Morocco,38,1,2,18/03/2020 12:11,18/03/2020
Belarus,Belarus,36,3,0,18/03/2020 12:11,18/03/2020
Georgia,Georgia,33,0,0,18/03/2020 12:11,18/03/2020
Cyprus,Cyprus,33,0,0,18/03/2020 12:11,18/03/2020
Venezuela,Venezuela,33,0,0,18/03/2020 12:11,18/03/2020
Kazakstan,Kazakstan,32,0,0,18/03/2020 12:11,18/03/2020
North Macedonia,North Macedonia,31,0,0,18/03/2020 12:11,18/03/2020
Malta,Malta,30,0,0,18/03/2020 12:11,18/03/2020
Moldova,Moldova,30,0,0,18/03/2020 12:11,18/03/2020
Senegal,Senegal,31,2,0,18/03/2020 12:11,18/03/2020
Uruguay,Uruguay,29,0,0,18/03/2020 12:11,18/03/2020
Bosnia and Herzegovina,Bosnia and Herzegovina,24,0,0,18/03/2020 12:11,18/03/2020
Kampuchea (Cambodia ),Kampuchea (Cambodia ),24,1,0,18/03/2020 12:11,18/03/2020
Afghanistan,Afghanistan,22,0,0,18/03/2020 12:11,18/03/2020
Lithuania,Lithuania,22,0,0,18/03/2020 12:11,18/03/2020
Oman,Oman,33,12,0,18/03/2020 12:11,18/03/2020
Azerbaijan,Azerbaijan,28,6,1,18/03/2020 12:11,18/03/2020
Dominican Republic,Dominican Republic,21,0,1,18/03/2020 12:11,18/03/2020
Tunisia,Tunisia,20,0,0,18/03/2020 12:11,18/03/2020
Burkina Faso,Burkina Faso,20,0,0,18/03/2020 12:11,18/03/2020
,,18,0,0,18/03/2020 12:11,18/03/2020
Martinique,Martinique,16,0,0,18/03/2020 12:11,18/03/2020
Andorra,Andorra,15,1,0,18/03/2020 12:11,18/03/2020
Maldives,Maldives,13,0,0,18/03/2020 12:11,18/03/2020
Ukraine,Ukraine,14,0,2,18/03/2020 12:11,18/03/2020
New Zealand,New Zealand,11,0,0,18/03/2020 12:11,18/03/2020
Bolivia,Bolivia,11,0,0,18/03/2020 12:11,18/03/2020
Cameroon,Cameroon,10,0,0,18/03/2020 12:11,18/03/2020
Jamaica,Jamaica,10,0,0,18/03/2020 12:11,18/03/2020
Uzbekistan,Uzbekistan,10,0,0,18/03/2020 12:11,18/03/2020
Monaco,Monaco,9,0,0,18/03/2020 12:11,18/03/2020
Paraguay,Paraguay,9,0,0,18/03/2020 12:11,18/03/2020
Reunion,Reunion,9,0,0,18/03/2020 12:11,18/03/2020
Bangladesh,Bangladesh,8,0,0,18/03/2020 12:11,18/03/2020
Honduras,Honduras,8,0,0,18/03/2020 12:11,18/03/2020
Liechtenstein,Liechtenstein,7,0,0,18/03/2020 12:11,18/03/2020
Ghana,Ghana,7,0,0,18/03/2020 12:11,18/03/2020
French Guiana,French Guiana,7,0,0,18/03/2020 12:11,18/03/2020
Republic of Rwanda,Republic of Rwanda,7,0,0,18/03/2020 12:11,18/03/2020
Ethiopia,Ethiopia,6,0,0,18/03/2020 12:11,18/03/2020
Ivory Coast,Ivory Coast,6,1,0,18/03/2020 12:11,18/03/2020
Cuba,Cuba,5,0,0,18/03/2020 12:11,18/03/2020
Trinidad and Tobago,Trinidad and Tobago,5,0,0,18/03/2020 12:11,18/03/2020
Mongolia,Mongolia,4,0,0,18/03/2020 12:11,18/03/2020
Kenya,Kenya,4,0,0,18/03/2020 12:11,18/03/2020
Seychelles,Seychelles,4,0,0,18/03/2020 12:11,18/03/2020
Guyana,Guyana,4,0,1,18/03/2020 12:11,18/03/2020
Nigeria,Nigeria,3,0,0,18/03/2020 12:11,18/03/2020
Democratic Republic of the Congo,Democratic Republic of the Congo,3,0,0,18/03/2020 12:11,18/03/2020
Saint Barthelemy,Saint Barthelemy,3,0,0,18/03/2020 12:11,18/03/2020
Gibraltar,Gibraltar,3,0,0,18/03/2020 12:11,18/03/2020
French Polynesia,French Polynesia,3,0,0,18/03/2020 12:11,18/03/2020
Puerto Rico,Puerto Rico,3,0,0,18/03/2020 12:11,18/03/2020
,,3,0,0,18/03/2020 12:11,18/03/2020
,,3,0,0,18/03/2020 12:11,18/03/2020
Guam,Guam,3,0,0,18/03/2020 12:11,18/03/2020
Sint Maarten,Sint Maarten,2,0,0,18/03/2020 12:11,18/03/2020
Bailiwick of Jersey,Bailiwick of Jersey,2,0,0,18/03/2020 12:11,18/03/2020
Namibia,Namibia,2,0,0,18/03/2020 12:11,18/03/2020
St.Lucia,St.Lucia,2,0,0,18/03/2020 12:11,18/03/2020
Liberia,Liberia,2,0,0,18/03/2020 12:11,18/03/2020
,,2,0,0,18/03/2020 12:11,18/03/2020
,,2,0,0,18/03/2020 12:11,18/03/2020
,,2,0,0,18/03/2020 12:11,18/03/2020
Guatemala,Guatemala,2,0,1,18/03/2020 12:11,18/03/2020
Sudan,Sudan,2,0,1,18/03/2020 12:11,18/03/2020
Kingdom of Bhutan,Kingdom of Bhutan,1,0,0,18/03/2020 12:11,18/03/2020
Status Civitatis Vaticanae,Status Civitatis Vaticanae,1,0,0,18/03/2020 12:11,18/03/2020
Togo,Togo,1,0,0,18/03/2020 12:11,18/03/2020
Gabon,Gabon,1,0,0,18/03/2020 12:11,18/03/2020
Guernsey,Guernsey,1,0,0,18/03/2020 12:11,18/03/2020
Suriname,Suriname,1,0,0,18/03/2020 12:11,18/03/2020
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1,0,0,18/03/2020 12:11,18/03/2020
The Republic of Equatorial Guinea,The Republic of Equatorial Guinea,1,0,0,18/03/2020 12:11,18/03/2020
Guinea,Guinea,1,0,0,18/03/2020 12:11,18/03/2020
The Islamic Republic of Mauritania,The Islamic Republic of Mauritania,1,0,0,18/03/2020 12:11,18/03/2020
Swaziland,Swaziland,1,0,0,18/03/2020 12:11,18/03/2020
Antigua and Barbuda,Antigua and Barbuda,1,0,0,18/03/2020 12:11,18/03/2020
Bahamas,Bahamas,1,0,0,18/03/2020 12:11,18/03/2020
Central African Republic,Central African Republic,1,0,0,18/03/2020 12:11,18/03/2020
,,1,0,0,18/03/2020 12:11,18/03/2020
,,1,0,0,18/03/2020 12:11,18/03/2020
,,1,0,0,18/03/2020 12:11,18/03/2020
Tanzania,Tanzania,1,0,0,18/03/2020 12:11,18/03/2020
Gambia,Gambia,1,0,0,18/03/2020 12:11,18/03/2020
Benin,Benin,1,0,0,18/03/2020 12:11,18/03/2020
Somali,Somali,1,0,0,18/03/2020 12:11,18/03/2020
Nepal,Nepal,1,1,0,18/03/2020 12:11,18/03/2020
Cayman Is,Cayman Is,1,0,1,18/03/2020 12:11,18/03/2020
Chile,Chile,201,0,0,18/03/2020 12:06,18/03/2020
Japan,Japan,882,157,29,18/03/2020 11:57,18/03/2020
Australia,Australia,513,27,5,18/03/2020 11:57,18/03/2020
Russia,Russia,114,5,0,18/03/2020 11:57,18/03/2020
Georgia,Georgia,33,0,0,18/03/2020 11:57,18/03/2020
Guam,Guam,3,0,0,18/03/2020 11:57,18/03/2020
,,2,0,0,18/03/2020 11:57,18/03/2020
Iran,Iran,16169,5389,988,18/03/2020 11:50,18/03/2020
Spain,Spain,11178,1028,491,18/03/2020 11:50,18/03/2020
Germany,Germany,9235,135,25,18/03/2020 11:50,18/03/2020
China,China,81151,69726,3242,18/03/2020 11:50,18/03/2020
France,France,7730,602,175,18/03/2020 11:50,18/03/2020
Korea,Korea,8413,1401,84,18/03/2020 11:50,18/03/2020
United States of America,United States of America,6420,74,108,18/03/2020 11:50,18/03/2020
Switzerland,Switzerland,2269,3,19,18/03/2020 11:50,18/03/2020
United Kingdom,United Kingdom,1950,52,60,18/03/2020 11:50,18/03/2020
Netherlands,Netherlands,1705,0,43,18/03/2020 11:50,18/03/2020
Norway,Norway,1331,0,3,18/03/2020 11:50,18/03/2020
Belgium,Belgium,1243,1,10,18/03/2020 11:50,18/03/2020
Sweden,Sweden,1191,1,8,18/03/2020 11:50,18/03/2020
Austria,Austria,1132,6,3,18/03/2020 11:50,18/03/2020
Denmark,Denmark,977,1,4,18/03/2020 11:50,18/03/2020
Japan,Japan,882,157,29,18/03/2020 11:50,18/03/2020
Malaysia,Malaysia,673,49,2,18/03/2020 11:50,18/03/2020
Australia,Australia,513,27,5,18/03/2020 11:50,18/03/2020
Canada,Canada,467,10,5,18/03/2020 11:50,18/03/2020
Portugal,Portugal,448,3,1,18/03/2020 11:50,18/03/2020
Qatar,Qatar,439,0,0,18/03/2020 11:50,18/03/2020
Czech Republic,Czech Republic,434,3,0,18/03/2020 11:50,18/03/2020
Greece,Greece,387,0,5,18/03/2020 11:50,18/03/2020
Israel,Israel,337,5,0,18/03/2020 11:50,18/03/2020
Finland,Finland,319,1,0,18/03/2020 11:50,18/03/2020
Ireland,Ireland,292,0,2,18/03/2020 11:50,18/03/2020
Brazil,Brazil,290,0,1,18/03/2020 11:50,18/03/2020
Slovenia,Slovenia,253,0,1,18/03/2020 11:50,18/03/2020
Diamond Princess Cruise Ship,Diamond Princess Cruise Ship,712,458,7,18/03/2020 11:50,18/03/2020
Iceland,Iceland,220,0,0,18/03/2020 11:50,18/03/2020
Pakistan,Pakistan,212,1,0,18/03/2020 11:50,18/03/2020
Estonia,Estonia,205,0,0,18/03/2020 11:50,18/03/2020
Poland,Poland,205,13,3,18/03/2020 11:50,18/03/2020
Philippines,Philippines,187,1,14,18/03/2020 11:50,18/03/2020
Egypt,Egypt,196,26,4,18/03/2020 11:50,18/03/2020
Indonesia,Indonesia,172,2,5,18/03/2020 11:50,18/03/2020
Singapore,Singapore,266,105,0,18/03/2020 11:50,18/03/2020
Bahrain,Bahrain,242,81,1,18/03/2020 11:50,18/03/2020
Chile,Chile,156,0,0,18/03/2020 11:50,18/03/2020
Romania,Romania,158,3,0,18/03/2020 11:50,18/03/2020
Luxembourg,Luxembourg,140,0,1,18/03/2020 11:50,18/03/2020
Thailand,Thailand,177,41,1,18/03/2020 11:50,18/03/2020
India,India,137,3,3,18/03/2020 11:50,18/03/2020
Saudi Arabia,Saudi Arabia,133,6,0,18/03/2020 11:50,18/03/2020
Kuwait,Kuwait,130,12,0,18/03/2020 11:50,18/03/2020
Peru,Peru,117,0,0,18/03/2020 11:50,18/03/2020
Lebanon,Lebanon,120,1,3,18/03/2020 11:50,18/03/2020
Iraq,Iraq,154,41,11,18/03/2020 11:50,18/03/2020
Turkey,Turkey,98,0,1,18/03/2020 11:50,18/03/2020
Slovakia,Slovakia,97,0,0,18/03/2020 11:50,18/03/2020
San Marino,San Marino,102,2,9,18/03/2020 11:50,18/03/2020
Russia,Russia,93,3,0,18/03/2020 11:50,18/03/2020
United Arab Emirates,United Arab Emirates,113,26,0,18/03/2020 11:50,18/03/2020
Mexico,Mexico,82,1,0,18/03/2020 11:50,18/03/2020
Bulgaria,Bulgaria,81,0,2,18/03/2020 11:50,18/03/2020
Armenia,Armenia,72,0,0,18/03/2020 11:50,18/03/2020
Republic of Serbia,Republic of Serbia,70,0,0,18/03/2020 11:50,18/03/2020
Panama,Panama,69,0,1,18/03/2020 11:50,18/03/2020
Argentina,Argentina,65,1,2,18/03/2020 11:50,18/03/2020
South Africa,South Africa,62,0,0,18/03/2020 11:50,18/03/2020
Croatia,Croatia,57,0,0,18/03/2020 11:50,18/03/2020
Colombia,Colombia,57,0,0,18/03/2020 11:50,18/03/2020
Ecuador,Ecuador,58,0,2,18/03/2020 11:50,18/03/2020
Brunei,Brunei,56,0,0,18/03/2020 11:50,18/03/2020
Albania,Albania,55,0,1,18/03/2020 11:50,18/03/2020
Vietnam,Vietnam,66,16,0,18/03/2020 11:50,18/03/2020
Costa Rica,Costa Rica,50,0,0,18/03/2020 11:50,18/03/2020
Hungary,Hungary,50,1,1,18/03/2020 11:50,18/03/2020
Faroe,Faroe,47,0,0,18/03/2020 11:50,18/03/2020
Algeria,Algeria,60,10,5,18/03/2020 11:50,18/03/2020
SriLanka,SriLanka,44,1,0,18/03/2020 11:50,18/03/2020
Palestine,Palestine,41,0,0,18/03/2020 11:50,18/03/2020
Jordan,Jordan,41,1,0,18/03/2020 11:50,18/03/2020
Latvia,Latvia,36,0,0,18/03/2020 11:50,18/03/2020
Morocco,Morocco,38,1,2,18/03/2020 11:50,18/03/2020
Belarus,Belarus,36,3,0,18/03/2020 11:50,18/03/2020
Georgia,Georgia,33,0,0,18/03/2020 11:50,18/03/2020
Cyprus,Cyprus,33,0,0,18/03/2020 11:50,18/03/2020
Venezuela,Venezuela,33,0,0,18/03/2020 11:50,18/03/2020
Kazakstan,Kazakstan,32,0,0,18/03/2020 11:50,18/03/2020
North Macedonia,North Macedonia,31,0,0,18/03/2020 11:50,18/03/2020
Malta,Malta,30,0,0,18/03/2020 11:50,18/03/2020
Moldova,Moldova,30,0,0,18/03/2020 11:50,18/03/2020
Senegal,Senegal,31,2,0,18/03/2020 11:50,18/03/2020
Uruguay,Uruguay,29,0,0,18/03/2020 11:50,18/03/2020
Bosnia and Herzegovina,Bosnia and Herzegovina,24,0,0,18/03/2020 11:50,18/03/2020
Kampuchea (Cambodia ),Kampuchea (Cambodia ),24,1,0,18/03/2020 11:50,18/03/2020
Afghanistan,Afghanistan,22,0,0,18/03/2020 11:50,18/03/2020
Lithuania,Lithuania,22,0,0,18/03/2020 11:50,18/03/2020
Oman,Oman,33,12,0,18/03/2020 11:50,18/03/2020
Azerbaijan,Azerbaijan,28,6,1,18/03/2020 11:50,18/03/2020
Dominican Republic,Dominican Republic,21,0,1,18/03/2020 11:50,18/03/2020
Tunisia,Tunisia,20,0,0,18/03/2020 11:50,18/03/2020
Burkina Faso,Burkina Faso,20,0,0,18/03/2020 11:50,18/03/2020
,,18,0,0,18/03/2020 11:50,18/03/2020
Martinique,Martinique,16,0,0,18/03/2020 11:50,18/03/2020
Andorra,Andorra,15,1,0,18/03/2020 11:50,18/03/2020
Maldives,Maldives,13,0,0,18/03/2020 11:50,18/03/2020
Ukraine,Ukraine,14,0,2,18/03/2020 11:50,18/03/2020
New Zealand,New Zealand,11,0,0,18/03/2020 11:50,18/03/2020
Bolivia,Bolivia,11,0,0,18/03/2020 11:50,18/03/2020
Cameroon,Cameroon,10,0,0,18/03/2020 11:50,18/03/2020
Jamaica,Jamaica,10,0,0,18/03/2020 11:50,18/03/2020
Uzbekistan,Uzbekistan,10,0,0,18/03/2020 11:50,18/03/2020
Monaco,Monaco,9,0,0,18/03/2020 11:50,18/03/2020
Paraguay,Paraguay,9,0,0,18/03/2020 11:50,18/03/2020
Reunion,Reunion,9,0,0,18/03/2020 11:50,18/03/2020
Bangladesh,Bangladesh,8,0,0,18/03/2020 11:50,18/03/2020
Honduras,Honduras,8,0,0,18/03/2020 11:50,18/03/2020
Liechtenstein,Liechtenstein,7,0,0,18/03/2020 11:50,18/03/2020
Ghana,Ghana,7,0,0,18/03/2020 11:50,18/03/2020
French Guiana,French Guiana,7,0,0,18/03/2020 11:50,18/03/2020
Republic of Rwanda,Republic of Rwanda,7,0,0,18/03/2020 11:50,18/03/2020
Ethiopia,Ethiopia,6,0,0,18/03/2020 11:50,18/03/2020
Ivory Coast,Ivory Coast,6,1,0,18/03/2020 11:50,18/03/2020
Cuba,Cuba,5,0,0,18/03/2020 11:50,18/03/2020
Trinidad and Tobago,Trinidad and Tobago,5,0,0,18/03/2020 11:50,18/03/2020
Mongolia,Mongolia,4,0,0,18/03/2020 11:50,18/03/2020
Kenya,Kenya,4,0,0,18/03/2020 11:50,18/03/2020
Seychelles,Seychelles,4,0,0,18/03/2020 11:50,18/03/2020
Guyana,Guyana,4,0,1,18/03/2020 11:50,18/03/2020
Nigeria,Nigeria,3,0,0,18/03/2020 11:50,18/03/2020
Democratic Republic of the Congo,Democratic Republic of the Congo,3,0,0,18/03/2020 11:50,18/03/2020
Saint Barthelemy,Saint Barthelemy,3,0,0,18/03/2020 11:50,18/03/2020
Gibraltar,Gibraltar,3,0,0,18/03/2020 11:50,18/03/2020
French Polynesia,French Polynesia,3,0,0,18/03/2020 11:50,18/03/2020
Puerto Rico,Puerto Rico,3,0,0,18/03/2020 11:50,18/03/2020
,,3,0,0,18/03/2020 11:50,18/03/2020
,,3,0,0,18/03/2020 11:50,18/03/2020
Guam,Guam,3,0,0,18/03/2020 11:50,18/03/2020
Sint Maarten,Sint Maarten,2,0,0,18/03/2020 11:50,18/03/2020
